id,full_name,html_url,stargazers_count,created_at,updated_at,primary_language,releases
MDEwOlJlcG9zaXRvcnkzOTEwNTU1OTc=,kunal-kushwaha/DSA-Bootcamp-Java,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java,20643,2021-07-30T12:23:25Z,2025-09-14T21:54:03Z,Java,0
MDEwOlJlcG9zaXRvcnk0OTg3NjQ3Ng==,apache/shardingsphere,https://github.com/apache/shardingsphere,20447,2016-01-18T12:49:26Z,2025-09-14T16:49:38Z,Java,58
MDEwOlJlcG9zaXRvcnkxNDQ3MDU2MDI=,didi/DoKit,https://github.com/didi/DoKit,20387,2018-08-14T10:32:07Z,2025-09-12T16:16:01Z,Java,14
MDEwOlJlcG9zaXRvcnk4MjA1NjAy,mybatis/mybatis-3,https://github.com/mybatis/mybatis-3,20229,2013-02-14T19:03:32Z,2025-09-14T08:39:10Z,Java,46
MDEwOlJlcG9zaXRvcnkyMzA5NTk1NA==,ReactiveX/RxAndroid,https://github.com/ReactiveX/RxAndroid,20071,2014-08-19T03:46:38Z,2025-09-14T22:22:24Z,Java,20
MDEwOlJlcG9zaXRvcnkxMjYzNjU5NjU=,linlinjava/litemall,https://github.com/linlinjava/litemall,19913,2018-03-22T16:42:30Z,2025-09-14T13:33:33Z,Java,8
MDEwOlJlcG9zaXRvcnkxNDg0OTY2ODc=,yudaocode/SpringBoot-Labs,https://github.com/yudaocode/SpringBoot-Labs,19858,2018-09-12T14:51:46Z,2025-09-14T08:05:27Z,Java,0
MDEwOlJlcG9zaXRvcnk3NTI3NzAwMw==,thingsboard/thingsboard,https://github.com/thingsboard/thingsboard,19689,2016-12-01T09:33:30Z,2025-09-14T13:44:37Z,Java,70
MDEwOlJlcG9zaXRvcnkzMTEyNDEzMjQ=,xiaojieonly/Ehviewer_CN_SXJ,https://github.com/xiaojieonly/Ehviewer_CN_SXJ,19672,2020-11-09T06:14:31Z,2025-09-14T19:44:32Z,Java,106
MDEwOlJlcG9zaXRvcnk3MDEwNzI0,dianping/cat,https://github.com/dianping/cat,18932,2012-12-05T02:31:48Z,2025-09-14T03:41:08Z,Java,3
MDEwOlJlcG9zaXRvcnk1MDg0NzUw,Baseflow/PhotoView,https://github.com/Baseflow/PhotoView,18871,2012-07-17T16:39:00Z,2025-09-12T00:00:45Z,Java,5
MDEwOlJlcG9zaXRvcnkyNDg5MjE2,JetBrains/intellij-community,https://github.com/JetBrains/intellij-community,18777,2011-09-30T13:33:05Z,2025-09-14T20:09:04Z,Java,4
MDEwOlJlcG9zaXRvcnk1MDE2ODc=,antlr/antlr4,https://github.com/antlr/antlr4,18333,2010-02-04T01:36:28Z,2025-09-14T17:07:38Z,Java,31
MDEwOlJlcG9zaXRvcnk4NTM3MTI2Mg==,williamfiset/Algorithms,https://github.com/williamfiset/Algorithms,18218,2017-03-18T02:50:46Z,2025-09-14T19:59:59Z,Java,0
MDEwOlJlcG9zaXRvcnk3NDM1OTQ0Mg==,Tencent/APIJSON,https://github.com/Tencent/APIJSON,18189,2016-11-21T12:03:29Z,2025-09-14T01:18:38Z,Java,110
MDEwOlJlcG9zaXRvcnkyMzc5NDA1OTI=,dromara/Sa-Token,https://github.com/dromara/Sa-Token,18154,2020-02-03T10:34:29Z,2025-09-14T04:37:23Z,Java,38
MDEwOlJlcG9zaXRvcnk0NTM2Mzk1NQ==,lionsoul2014/ip2region,https://github.com/lionsoul2014/ip2region,18146,2015-11-02T00:43:13Z,2025-09-14T12:11:07Z,Java,2
MDEwOlJlcG9zaXRvcnk1OTAxOTAw,LMAX-Exchange/disruptor,https://github.com/LMAX-Exchange/disruptor,17980,2012-09-21T13:42:24Z,2025-09-12T16:37:42Z,Java,14
MDEwOlJlcG9zaXRvcnk4NzYyNDg3MA==,forezp/SpringCloudLearning,https://github.com/forezp/SpringCloudLearning,17973,2017-04-08T10:06:56Z,2025-09-14T07:30:56Z,Java,0
R_kgDOKuoIHw,ashishps1/awesome-low-level-design,https://github.com/ashishps1/awesome-low-level-design,17921,2023-11-17T10:15:12Z,2025-09-14T17:55:29Z,Java,0
MDEwOlJlcG9zaXRvcnkxODQ2MTE2Nzc=,YunaiV/yudao-cloud,https://github.com/YunaiV/yudao-cloud,17850,2019-05-02T16:06:49Z,2025-09-14T15:56:47Z,Java,32
MDEwOlJlcG9zaXRvcnk2NzQ4MTk4Ng==,Tencent/tinker,https://github.com/Tencent/tinker,17543,2016-09-06T06:57:52Z,2025-09-14T14:52:07Z,Java,60
MDEwOlJlcG9zaXRvcnk0NTc2MzA1,openzipkin/zipkin,https://github.com/openzipkin/zipkin,17305,2012-06-06T18:26:16Z,2025-09-14T20:25:59Z,Java,97
MDEwOlJlcG9zaXRvcnkyOTkzNTk1,infinilabs/analysis-ik,https://github.com/infinilabs/analysis-ik,17212,2011-12-16T09:01:45Z,2025-09-14T16:48:47Z,Java,1
MDEwOlJlcG9zaXRvcnkxNjg1MDAzOTc=,justauth/JustAuth,https://github.com/justauth/JustAuth,17186,2019-01-31T09:42:20Z,2025-09-14T13:23:33Z,Java,46
MDEwOlJlcG9zaXRvcnkzMTUzMzk5Nw==,facebook/fresco,https://github.com/facebook/fresco,17139,2015-03-02T09:58:04Z,2025-09-12T17:45:36Z,Java,55
MDEwOlJlcG9zaXRvcnk2NTk4NzA0Mw==,baomidou/mybatis-plus,https://github.com/baomidou/mybatis-plus,17101,2016-08-18T10:06:53Z,2025-09-13T15:35:07Z,Java,38
MDEwOlJlcG9zaXRvcnkyNzk1NDkyNw==,ben-manes/caffeine,https://github.com/ben-manes/caffeine,17031,2014-12-13T08:45:11Z,2025-09-14T08:44:56Z,Java,71
MDEwOlJlcG9zaXRvcnk3NTY0MzA5Ng==,material-components/material-components-android,https://github.com/material-components/material-components-android,16951,2016-12-05T16:11:29Z,2025-09-13T16:36:30Z,Java,112
MDEwOlJlcG9zaXRvcnkyODYyMjkw,nostra13/Android-Universal-Image-Loader,https://github.com/nostra13/Android-Universal-Image-Loader,16926,2011-11-27T18:48:23Z,2025-09-14T16:15:00Z,Java,0
MDEwOlJlcG9zaXRvcnkxMTc5NjU5NzI=,alibaba/DataX,https://github.com/alibaba/DataX,16799,2018-01-18T10:09:47Z,2025-09-14T05:17:11Z,Java,7
